gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MBL1P	23.740916881610428	-0.47485305261207283	0.08448902333759976	-5.6202928363210365	1.9063405720729247e-8	2.324811282493597e-8
TMEM204	505.36907771705523	0.46894370932035606	0.08346745963382887	5.618281799609197	1.9286575990565237e-8	2.3518829042986772e-8
HSD17B8	242.06772036665947	-0.3191127894363934	0.05680805701378682	-5.617386092943603	1.9386789607819794e-8	2.3639582934687054e-8
UBA2	4988.9252353000975	-0.17640072078380223	0.03141966355632613	-5.61434149247232	1.9731220302729073e-8	2.4058093622274643e-8
FASTKD3	358.1959731864164	0.18114022317517586	0.03227170362028433	5.612973684516626	1.988788542193473e-8	2.424762617980778e-8
PCAT6	96.59261634331	-0.3673959265364808	0.06546155115445566	-5.612392619136307	1.9954804013825814e-8	2.4327721801395492e-8
ATP13A5	76.65518806015052	0.6137796091163372	0.10940510012997177	5.610155361927144	2.021450569687231e-8	2.4642822968421974e-8
LINC01257	12.732004054625223	1.4918609905198519	0.2660923709808921	5.606553036527986	2.0639574956550623e-8	2.515946715351331e-8
ADIPOR2	4130.628656262468	0.27490631609335964	0.04904204334611447	5.605523288522195	2.0762670152466813e-8	2.5307966709797e-8
AK7	59.5344907613626	0.5664634680377625	0.10110594704628363	5.602672093842813	2.1107229866032957e-8	2.5726378305802683e-8
RBM5-AS1	21.830449981345403	-0.6732464905419518	0.1201675883590948	-5.6025630516117255	2.1120516952691194e-8	2.5740994350437254e-8
MIP	13.234637904676653	-0.4691315775820754	0.08379161272104502	-5.598789214666216	2.1585405722295485e-8	2.630597218897681e-8
CPEB1-AS1	55.117165218618425	0.5008287961613982	0.08950155285411168	5.595755382901049	2.1966323654910602e-8	2.6768552380596278e-8
HILPDA	1021.3156192082781	0.6134620869889399	0.10963415328406358	5.595538147674214	2.1993847938786877e-8	2.680045046845553e-8
NCOA1	6720.548293889899	0.14307746955588413	0.02557906347898745	5.593538233853582	2.2248820220391192e-8	2.7109482826636446e-8
HSCB	338.8366230709783	-0.19236699463944287	0.034391884101168745	-5.593383429461651	2.2268675690279916e-8	2.713201246580273e-8
PRRG2	26.15686686116083	0.3043515028645877	0.05441499356492162	5.593155175171913	2.229798334808109e-8	2.716605512188507e-8
TTC34	230.52935770441292	0.4038993464429444	0.07223500198754779	5.591463076481544	2.2516418023979564e-8	2.743049650395549e-8
HHIP-AS1	112.17738249568397	-0.37678745717977097	0.06740975410705197	-5.589509443713487	2.2771198317744948e-8	2.7739180590340687e-8
SATL1	16.252276628547	0.8061424846787512	0.14422839774463608	5.589346462172232	2.2792579341084318e-8	2.776352437575258e-8
PPAN	1267.8827649956856	0.18124161568580208	0.03248444166490233	5.57933602662544	2.414384242265871e-8	2.94076884231121e-8
CHUK	1202.3748091311568	-0.2120152097210532	0.03801077323728289	-5.5777662926651	2.4362666303526045e-8	2.9672401617042754e-8
CHCHD10	1741.816314827159	-0.3534973659469061	0.06341268517758122	-5.574552866780048	2.481664361625135e-8	3.0223468893923324e-8
SUPT3H	361.6059279142793	0.16785968615440058	0.03011637470022437	5.573701610013174	2.4938273985457373e-8	3.036973775211478e-8
SNUPN	865.0934974549122	-0.16511745617995133	0.029643689104265045	-5.570071106844617	2.5463539271712944e-8	3.100750367102639e-8
NPPC	97.69680853281655	-0.6236616435953538	0.11196870141348099	-5.56996406783606	2.5479187607815232e-8	3.102465785186913e-8
LRRC8B	1632.0269087920167	0.5864752424821371	0.10529542099639495	5.569807660508015	2.550207002134731e-8	3.105061794401163e-8
R3HCC1L	777.7428353819043	-0.17663085760996872	0.0317207226201855	-5.568311281079378	2.5722001066506606e-8	3.1316481141625985e-8
EPS15	6019.52363915793	-0.20691256608748623	0.03716074829254724	-5.568040892464578	2.5761937421762003e-8	3.136318204038808e-8
IFI27	1295.3792652799737	0.45417261265468784	0.08162733404237925	5.563977042529537	2.636946525207405e-8	3.2100833955477544e-8
TTPA	99.63786312470384	-0.4533914567661896	0.08148766319277566	-5.563927581204529	2.6376944465243713e-8	3.210797184767676e-8
SKOR2	23.001756767308237	-1.2291039139490278	0.22094038945300273	-5.563056700461172	2.6508970983667408e-8	3.226670779048381e-8
DDTL	95.85274287438395	-0.34453234354849194	0.061964685258317956	-5.5601402978520404	2.6955787053206002e-8	3.2808562523507666e-8
RNF133	18.841480303423474	-0.7639716486751816	0.13741099518805094	-5.559756318114603	2.7015157500334124e-8	3.287881001020576e-8
RPL23AP65	6.9111341694054635	-0.5304509224811276	0.09541508558644371	-5.559403098795653	2.7069883847363197e-8	3.2943397134839946e-8
MSX1	406.9645868433315	0.5920551629734488	0.1065152064194875	5.558409760215508	2.7224364932340696e-8	3.312936803034135e-8
MRPS18B	1727.3501360739403	-0.14451327746362494	0.026003733919360967	-5.55740486776894	2.7381513147234255e-8	3.331856158605346e-8
SF3A3	2935.6494202011963	0.11805688601729904	0.021244426209616172	5.5570757643650195	2.7433170439611684e-8	3.3379375641437875e-8
OPRM1	126.5573798855255	-0.9098960036159738	0.1638288479657283	-5.553942513264311	2.7929736715205978e-8	3.398149317361006e-8
NAIF1	399.98666290212094	0.14799063224459535	0.026655933588880344	5.551883288992376	2.8260826057986527e-8	3.438221718037886e-8
TESC	491.3651976093533	-0.6743474434832933	0.12147522075519313	-5.551316880026865	2.8352561080015776e-8	3.449171066924233e-8
EXOC3-AS1	202.6751864295406	0.3562370068208909	0.06418515070815553	5.550146769003792	2.854298693896157e-8	3.4721243661302906e-8
PARVB	1316.9793455038948	-0.36730465297622245	0.06620969066339427	-5.547596572283886	2.8962319643622522e-8	3.522918626174125e-8
XRN1	2578.759245836519	0.31109767673802613	0.05608801891826508	5.546597700150131	2.9128189569119858e-8	3.542877849905434e-8
PTPRB	2005.150438701939	-0.3192039037963127	0.0575692705801909	-5.544692517020496	2.9447118178944104e-8	3.5814501037516204e-8
UQCR11	3245.0740017713792	-0.2534752935813684	0.04575098082807724	-5.540324797273228	3.0191115977600385e-8	3.6717127093443994e-8
TSC22D1	20870.45284997222	-0.3225371022742518	0.05822068002007426	-5.5399061323749965	3.026338174772289e-8	3.6802761280873216e-8
CSTB	3041.8078674192157	0.2762362002659095	0.04986490508305658	5.539691689090788	3.030046177849746e-8	3.6845598853402366e-8
PEX5L	2074.2611375085835	-0.7238349392623297	0.13067155665401922	-5.53934580559744	3.0360362429375346e-8	3.6916179538429104e-8
EGFL6	16.339309106782242	0.9417965067475902	0.17002518840701267	5.539158730370482	3.039280826891709e-8	3.6953370406260426e-8
GZMB	13.415797903110148	0.726216945992454	0.13111699280054306	5.538694340688434	3.047349627339098e-8	3.7049208806658027e-8
PLA2G16	2716.5213981260126	0.46227084188175394	0.08347124828171874	5.538084686616542	3.057973961763642e-8	3.717610336973394e-8
VAT1L	7634.084003674921	-0.5922993493331953	0.10695812063088299	-5.537675361530009	3.065127352061507e-8	3.725943038997222e-8
