gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CTNND1	8105.612856088868	1.0720332803866333	0.02536956606117114	42.25666603054009	0	0
STAT3	6862.723830006494	1.4380352821624298	0.03578527437919344	40.185112650653416	0	0
SON	14279.00417269703	1.1146188556659147	0.028476942131703778	39.1411005616714	0	0
GDI1	39936.16991860902	-1.2394938080195046	0.02593393656771805	-47.79427931363097	0	0
CD44	5665.068064744945	4.7417543882678945	0.10359031738732655	45.77410811995456	0	0
RPL41	11020.256112447327	1.8919613146924117	0.0344220464619305	54.96365001961317	0	0
NISCH	33630.30511574377	-2.4805930462804207	0.05367323938449363	-46.21657039386879	0	0
CCDC80	3400.9778817611527	3.7801277805680895	0.08237057373036076	45.89172576291989	0	0
HBA1	4245.579237909142	6.32992218997175	0.12114306282326093	52.25162747623985	0	0
CALCOCO1	12848.264019473996	-1.7737296869268628	0.04223859416579876	-41.99310422038334	0	0
TSPYL2	24236.26687323937	-3.2766978082433083	0.05053226809415692	-64.84367181258969	0	0
PDIA3	6194.3470717930695	1.3477410242425485	0.032306077586662686	41.717878644572835	0	0
SNAP25	97464.84524641855	-4.9910875205155465	0.09266943138225696	-53.859049808210756	0	0
TNC	11485.625788696048	7.95791887313278	0.13941646593614124	57.08019364640795	0	0
PABPN1	16870.504586099978	-1.8628264742903946	0.03095829457665486	-60.172128334715225	0	0
RPL23A	8415.458781553769	1.2888633282593878	0.027413164506254053	47.016218356160444	0	0
IQGAP1	4401.290801149018	2.2176501057286977	0.04981799004842135	44.51504574097066	0	0
DPYSL3	11140.18788141767	2.9117716325392813	0.07588433049715862	38.37118432043501	0	0
SEC61A1	7553.877810676197	1.5019074174783151	0.031076853751403222	48.32881183831227	0	0
GRN	3625.521478747989	2.101915603164966	0.047831984492644336	43.94372563589121	0	0
WBP2	21546.28635862653	-1.4401727653379925	0.03321318548260517	-43.36147660670061	0	0
NID1	2969.8186593909436	4.299651072298999	0.07926342633868885	54.2450821382209	0	0
MMP14	2953.381940477723	4.625347110220247	0.0778224336414099	59.434624359512	0	0
SERBP1	7432.424912532258	1.250823837763421	0.025407913619221834	49.22969498830223	0	0
VAMP2	28892.19576396684	-2.452991052346945	0.04327326081288031	-56.68606909366097	0	0
LGALS3BP	4954.45230014581	2.8255408568862084	0.06320504847841987	44.70435392278726	0	0
ARGLU1	11963.350121576803	-1.9427249685187877	0.043815275812437604	-44.33898754478037	0	0
SLC25A4	8635.832900494956	-1.8758439728725258	0.0360445916112909	-52.04231450592774	0	0
TMED10	7209.348952532929	1.4857215663909906	0.03493813256957526	42.52435539971541	0	0
SUGP2	20774.934004184863	-1.455426560368014	0.034827655002103525	-41.78939294879627	0	0
VAT1	3865.355733615684	1.9895777370207626	0.050725890021125625	39.22213560357779	0	0
CHD4	11286.536015555916	1.028397338013689	0.023892245803043596	43.04314238566402	0	0
GABARAPL1	13121.639375901148	-2.111673646548555	0.040713346134241664	-51.866865464358064	0	0
SCARB2	9880.336734040677	1.063164648563171	0.026546108624128383	40.04973623881112	0	0
KLC1	28131.277856888304	-1.877511619595868	0.03327072612970398	-56.43133883752639	0	0
RNF213	7741.399558421211	2.767717092535379	0.06037206199224162	45.84433595942204	0	0
PPP1R12C	8368.770229306958	-1.6633588260824548	0.03504979239714327	-47.45702363184401	0	0
MAPK8IP3	32458.50887995477	-2.056750186810458	0.04510384147510407	-45.600332910573044	0	0
HNRNPUL1	9364.779315123851	0.9256332405138259	0.023355330779012376	39.63263245004522	0	0
MYL7	88.81651893536223	-5.015400781407503	0.08404242986333191	-59.67700826312906	0	0
CYP17A1	137.5354942544537	-5.048596266467148	0.12899099608866724	-39.1391369905911	0	0
