fpr	tpr	threshold	auroc	gene	shuffled
0.29219143576826195	0.0	0.5769794669651719	0.35516372795969775	TP53	True
0.2972292191435768	0.0	0.5755996061602765	0.35516372795969775	TP53	True
0.29974811083123426	0.0	0.5745964517953639	0.35516372795969775	TP53	True
0.3022670025188917	0.0	0.5740028221764509	0.35516372795969775	TP53	True
0.3047858942065491	0.0	0.5737918489411855	0.35516372795969775	TP53	True
0.3047858942065491	0.0625	0.5726032998892242	0.35516372795969775	TP53	True
0.3148614609571788	0.0625	0.571348343980743	0.35516372795969775	TP53	True
0.3198992443324937	0.0625	0.569560673489525	0.35516372795969775	TP53	True
0.3249370277078086	0.0625	0.5689236247434636	0.35516372795969775	TP53	True
0.327455919395466	0.0625	0.5670594279928508	0.35516372795969775	TP53	True
0.33249370277078083	0.0625	0.5635095835472016	0.35516372795969775	TP53	True
