sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_0RF0EZTV	0.38135871811325167	0.4098736644627996	0.527731924591128	0.5706517395859309	0.7265198088155079	0.6953176026690415
BS_0RQ4P069	0.6045272148408471	0.35704927472399167	0.5978220152996974	0.436827743010799	0.5176824910456582	0.46532321159378426
BS_0SCXXM6N	0.5737619586702298	0.3066467830916549	0.551304648666737	0.4325582160776129	0.43502720710729	0.5673827366322883
BS_0SPCTBZY	0.630921600567703	0.6511110820486409	0.5723168332311132	0.5493730327367973	0.43987342286229403	0.5389172697051243
BS_0T17SY47	0.35510433901254784	0.5728534431212571	0.4365416907376392	0.5511347531634616	0.4590877099078152	0.4430891003729485
BS_0VRSD9V3	0.39702763471950675	0.8598916489274566	0.6013552694345775	0.5193969570815945	0.30718068087655914	0.5418639247989092
BS_0WQJP6ZG	0.408690223870506	0.5735549122612602	0.5005956266903454	0.5536606987129862	0.357103461392987	0.5010858314513059
BS_0WVJYM9R	0.31935699953025276	0.5748697620370705	0.4691948884803442	0.3613286249811374	0.7802792999346597	0.4393055459400321
BS_0X9EGHY2	0.3590865727532172	0.5727044255561364	0.4881037569851568	0.4995479152069522	0.3795001062751489	0.5231722704629513
BS_0XEG6SNV	0.3459406116225922	0.033156917404811394	0.48902706581488414	0.5155146395506854	0.6441782756412285	0.44761438149212124
BS_0Y66ZBWE	0.524668956367222	0.6359440136482022	0.49303032250727036	0.4926346886717464	0.41754191146784136	0.5468383877753787
BS_1021ZGQT	0.5125997690289416	0.3369595733852918	0.3346873821506197	0.47872712627525815	0.5375102466801948	0.4078153955515702
BS_10APZRVT	0.2689048016284916	0.10978798181784213	0.35150081168375524	0.528671360042282	0.6928909612125821	0.5640084535159268
BS_11WY983P	0.5307442962641925	0.621820123140705	0.43497627878585093	0.3786553719090275	0.7506584116185734	0.4872016079258283
BS_13CGKADW	0.3576718391204376	0.430197450924982	0.4904456258485248	0.5472515672836704	0.4708780308315533	0.5090963605028609
BS_15ETQ0E4	0.5860539431141983	0.43253868066047546	0.45675915827596403	0.3815592780633618	0.4888464878989376	0.6363875762221172
BS_1607397Q	0.5084269900014037	0.48884797837209343	0.4560037908497073	0.5312868791334528	0.49027832884576483	0.5483874961985429
BS_17WYVEEC	0.550441844274713	0.5126056459661179	0.5197738144599259	0.48345155316561617	0.6743131253910497	0.5296563020976525
BS_196BBNEJ	0.30529109542853683	0.7215979621073135	0.4764783058162684	0.6428605463006127	0.5963128600628862	0.4434210262178275
BS_1A6MQ9ZA	0.7263057797973214	0.5080335455413174	0.6525291237996125	0.5231383107612901	0.603043452525458	0.5065339824500544
BS_1AYRM596	0.3208453057002296	0.7136333331612488	0.32379324633241885	0.5360268005446245	0.5859305633481192	0.523506693292187
BS_1BWP5MCT	0.5099132514473806	0.5067267005663122	0.4241303769320678	0.5008924210116835	0.47341213540476224	0.47836388327190693
BS_1D6PZNKN	0.7062357168008979	0.8244973325082775	0.49836774023088976	0.39243378376660926	0.5701205120826686	0.45893890149399097
BS_1EBQ3T20	0.557750076406713	0.48033627197927914	0.4690272825619685	0.5668199730401688	0.4482039915222606	0.3618048651589324
BS_1EN5V3XW	0.5233262960168269	0.8373251558643525	0.3743153520044772	0.41816776856288723	0.656185938598722	0.5300239025168157
