Gene_symbol	current_dataset	previous_dataset
MIR3154	NA	All Cohorts
MIR6853	NA	All Cohorts
MIR4285	NA	All Cohorts
MIR1249	NA	All Cohorts
MIR4777	NA	All Cohorts
SNORD115-4	NA	All Cohorts
RNU7-40P	NA	All Cohorts
MIR6781	NA	All Cohorts
SNORD39	NA	All Cohorts
SNORD42A	NA	All Cohorts
MIR6865	NA	All Cohorts
RNA5SP460	NA	All Cohorts
RNA5SP40	NA	All Cohorts
RNA5SP321	NA	All Cohorts
MIR6752	NA	All Cohorts
SNORD73B	NA	All Cohorts
IGHJ1P	NA	All Cohorts
RNU6-1310P	NA	All Cohorts
MIR4479	NA	All Cohorts
MIR6804	NA	All Cohorts
MIR4632	NA	All Cohorts
RNU6-624P	NA	All Cohorts
MIR6881	NA	All Cohorts
RNU6-782P	NA	All Cohorts
RNU6-451P	NA	All Cohorts
RNU6-908P	NA	All Cohorts
RNU6-62P	NA	All Cohorts
RNU6-922P	NA	All Cohorts
MIR3135B	NA	All Cohorts
RNU6-272P	NA	All Cohorts
MIR6796	NA	All Cohorts
MIR3656	NA	All Cohorts
RNA5SP476	NA	All Cohorts
MIR6514	NA	All Cohorts
RNA5SP120	NA	All Cohorts
MIR8058	NA	All Cohorts
RNA5SP163	NA	All Cohorts
MIRLET7A1	NA	All Cohorts
RNU6-1181P	NA	All Cohorts
MIR4664	NA	All Cohorts
MIR4706	NA	All Cohorts
RNU6-796P	NA	All Cohorts
MIR541	NA	All Cohorts
RNU6-1282P	NA	All Cohorts
MIR6870	NA	All Cohorts
AC079150.2	NA	All Cohorts
TRAJ46	NA	All Cohorts
RNU6-1050P	NA	All Cohorts
RNU5A-4P	NA	All Cohorts
MIR6851	NA	All Cohorts
MIR1228	NA	All Cohorts
RNU6-1149P	NA	All Cohorts
KRTAP9-10P	NA	All Cohorts
MIR6773	NA	All Cohorts
RNU6-535P	NA	All Cohorts
MIR6864	NA	All Cohorts
MIR1180	NA	All Cohorts
MIR548V	NA	All Cohorts
RNU6-455P	NA	All Cohorts
MIR4322	NA	All Cohorts
RNU6-960P	NA	All Cohorts
MIR6825	NA	All Cohorts
MIR6763	NA	All Cohorts
SNORD59	NA	All Cohorts
MIR6889	NA	All Cohorts
RNU6-331P	NA	All Cohorts
MIR548AT	NA	All Cohorts
RNU6-1146P	NA	All Cohorts
SNORD56	NA	All Cohorts
MIR6513	NA	All Cohorts
MIR6835	NA	All Cohorts
RNA5SP47	NA	All Cohorts
