Gene_symbol	current_dataset	previous_dataset
SPDYE16	GMKF	NA
GAGE2A	GMKF	NA
MEF2B	GMKF	NA
GAGE12G	GMKF	NA
LINC00598	GMKF	NA
GAGE12J	GMKF	NA
TSBP1-AS1	GMKF	NA
CT47A6	GMKF	NA
LINC00840	GMKF	NA
LINC01320	GMKF	NA
ARL17B	GMKF	NA
LINC00856	GMKF	NA
FAR2P4	GMKF	NA
GAGE12F	GMKF	NA
HLA-DQA2	GMKF	NA
SNORA59A	GMKF	NA
LASTR	GMKF	NA
OFD1P6Y	GMKF	NA
FOXL3	GMKF	NA
SLCO1B3-SLCO1B7	GMKF	NA
CSPG4P12	GMKF	NA
ULK4P2	GMKF	NA
LINC02210-CRHR1	GMKF	NA
LINC00683	GMKF	NA
SNHG22	GMKF	NA
LINC02073	GMKF	NA
GOLGA6L10	GMKF	NA
PAUPAR	GMKF	NA
IQCJ-SCHIP1	GMKF	NA
EEF1AKMT4	GMKF	NA
TBCE	GMKF	NA
SMIM41	GMKF	NA
LINC02359	GMKF	NA
CCDC39	GMKF	NA
SEPT5-GP1BB	GMKF	NA
EEF1AKMT4-ECE2	GMKF	NA
UPK3BL2	GMKF	NA
SLC7A14-AS1	GMKF	NA
ARHGAP11B	GMKF	NA
PIGY-DT	GMKF	NA
OOSP3	GMKF	NA
DINOL	GMKF	NA
TFAP2A-AS2	GMKF	NA
ABCF2-H2BE1	GMKF	NA
LINC00842	GMKF	NA
LINC02478	GMKF	NA
GABPB1-IT1	GMKF	NA
PDGFRL2P	GMKF	NA
SOD2-OT1	GMKF	NA
TUSC2P2	GMKF	NA
H2BE1	GMKF	NA
RELA-DT	GMKF	NA
LINC02838	GMKF	NA
LINC02856	GMKF	NA
LINC02834	GMKF	NA
LINC02835	GMKF	NA
LINC02717	GMKF	NA
LCEP3	GMKF	NA
LINC02849	GMKF	NA
GET1-SH3BGR	GMKF	NA
LINC02793	GMKF	NA
LINC02852	GMKF	NA
MSANTD5	GMKF	NA
BMP8B-AS1	GMKF	NA
H2AL1SP	GMKF	NA
CERNA2	GMKF	NA
H2AQ1P	GMKF	NA
SPDYE15	GMKF	NA
LINC02822	GMKF	NA
PCSEAT	GMKF	NA
SPDYE13	GMKF	NA
LCAL1	GMKF	NA
MAGEA6-DT	GMKF	NA
ASDURF	GMKF	NA
RCAN3AS	GMKF	NA
GPC3-AS1	GMKF	NA
SPDYE14	GMKF	NA
DERPC	GMKF	NA
ARMCX5-GPRASP2	GMKF	NA
H3C2	GMKF	NA
PRSS43P	GMKF	NA
LINC02348	GMKF	NA
LINC01622	GMKF	NA
SMIM40	GMKF	NA
MICB-DT	GMKF	NA
H3C3	GMKF	NA
LINCADL	GMKF	NA
C2orf27A	GMKF	NA
PTCSC1	GMKF	NA
TMX2-CTNND1	GMKF	NA
C3orf36	GMKF	NA
DUS4L-BCAP29	GMKF	NA
C8orf44	GMKF	NA
C8orf44-SGK3	GMKF	NA
SNORA74C-2	GMKF	NA
NPBWR1	GMKF	NA
LNCDAT	GMKF	NA
CDR1	GMKF	NA
BOLA2B	GMKF	NA
DEFB103A	GMKF	NA
DEFB4B	GMKF	NA
DEFB105B	GMKF	NA
DEFB107B	GMKF	NA
SMN2	GMKF	NA
SERF1B	GMKF	NA
LINC00680	GMKF	NA
LINC01725	GMKF	NA
CCDC144NL-AS1	GMKF	NA
DDX11L10	GMKF	NA
USP17L4	GMKF	NA
DDX11L9	GMKF	NA
MTRNR2L12	GMKF	NA
TBC1D3L	GMKF	NA
RALY-AS1	GMKF	NA
ANAPC1P2	GMKF	NA
LINC02858	GMKF	NA
NIPBL-DT	GMKF	NA
NBEAP6	GMKF	NA
SPEGNB	GMKF	NA
NOTCH2NLR	GMKF	NA
RNVU1-8	GMKF	NA
SPDYE11	GMKF	NA
PARTICL	GMKF	NA
THCAT155	GMKF	NA
FAM106C	GMKF	NA
PDCD6-AHRR	GMKF	NA
CXorf56	NA	TARGET
CCDC114	NA	TARGET
LOC93463	NA	TARGET
PRRC2B	NA	TARGET
G6PC	NA	TARGET
FLJ33534	NA	TARGET
LOC541473	NA	TARGET
MAP11	NA	TARGET
TCTEX1D1	NA	TARGET
ATP5MPL	NA	TARGET
FAM122C	NA	TARGET
FAM122B	NA	TARGET
CCDC58	NA	TARGET
LOC102725072	NA	TARGET
LOC100505501	NA	TARGET
ARMC4	NA	TARGET
XAGE-4	NA	TARGET
LOC728554	NA	TARGET
LOC554249	NA	TARGET
LOC93622	NA	TARGET
RBMY2MP	NA	TARGET
FLJ20712	NA	TARGET
ATP5MD	NA	TARGET
LOC105370792	NA	TARGET
LOC100128398	NA	TARGET
LOC107984399	NA	TARGET
RPL19P3	NA	TARGET
LOC100288208	NA	TARGET
LOC100129540	NA	TARGET
LOC648987	NA	TARGET
LOC105373159	NA	TARGET
LOC284241	NA	TARGET
RPS16P1	NA	TARGET
LOC100286922	NA	TARGET
RPL31P38	NA	TARGET
LOC100128310	NA	TARGET
RPL23P6	NA	TARGET
LOC107985579	NA	TARGET
LOC643067	NA	TARGET
LOC100996643	NA	TARGET
LOC339059	NA	TARGET
ACTL10	NA	TARGET
LOC401589	NA	TARGET
LOC102723701	NA	TARGET
LOC643015	NA	TARGET
LOC100288570	NA	TARGET
LOC101929583	NA	TARGET
LOC646012	NA	TARGET
LOC100379224	NA	TARGET
LOC440895	NA	TARGET
RPL21P124	NA	TARGET
LOC101060042	NA	TARGET
LOC388282	NA	TARGET
LOC730098	NA	TARGET
FAM122A	NA	TARGET
LOC100288637	NA	TARGET
TCTEX1D4	NA	TARGET
CYCSP3	NA	TARGET
LOC400499	NA	TARGET
GAGE2B	NA	TARGET
LOC441239	NA	TARGET
LOC642474	NA	TARGET
LOC401040	NA	TARGET
RPS2P40	NA	TARGET
LOC101929006	NA	TARGET
LOC340268	NA	TARGET
CCDC151	NA	TARGET
LOC101928372	NA	TARGET
LOC101929106	NA	TARGET
LOC100128906	NA	TARGET
LOC100422622	NA	TARGET
LOC100130587	NA	TARGET
LOC100133077	NA	TARGET
LOC100287792	NA	TARGET
LOC400710	NA	TARGET
LOC284788	NA	TARGET
LOC100268168	NA	TARGET
LOC728877	NA	TARGET
LOC102724238	NA	TARGET
TTC25	NA	TARGET
LOC389602	NA	TARGET
LOC101927533	NA	TARGET
LOC100129697	NA	TARGET
LOC440040	NA	TARGET
LOC400553	NA	TARGET
LOC100133091	NA	TARGET
LOC107985433	NA	TARGET
RPS2P23	NA	TARGET
LOC100129554	NA	TARGET
LOC107984285	NA	TARGET
RPL31P5	NA	TARGET
LOC344967	NA	TARGET
LOC100128770	NA	TARGET
LOC100420864	NA	TARGET
LOC642484	NA	TARGET
LOC100652833	NA	TARGET
RPL18AP11	NA	TARGET
LOC107985122	NA	TARGET
LOC339803	NA	TARGET
LOC100129527	NA	TARGET
RPL17P8	NA	TARGET
LOC100422263	NA	TARGET
RPS17P6	NA	TARGET
RPL7AP37	NA	TARGET
LOC729141	NA	TARGET
LOC101929598	NA	TARGET
RPL8P4	NA	TARGET
LOC100130018	NA	TARGET
RPS17P12	NA	TARGET
LOC100422300	NA	TARGET
RPS10P15	NA	TARGET
RPL31P39	NA	TARGET
RPL28P5	NA	TARGET
RPS2P31	NA	TARGET
RPL31P37	NA	TARGET
RPL18AP13	NA	TARGET
RPS18P2	NA	TARGET
RPS4Y1P1	NA	TARGET
RPL36P12	NA	TARGET
LOC401703	NA	TARGET
RPL7AP39	NA	TARGET
LOC345471	NA	TARGET
RPL7AP17	NA	TARGET
LOC100421580	NA	TARGET
RPL31P51	NA	TARGET
LOC100418710	NA	TARGET
RPL36P7	NA	TARGET
RPS12P25	NA	TARGET
RPL7AP43	NA	TARGET
LOC100288416	NA	TARGET
RPL31P43	NA	TARGET
RPL31P4	NA	TARGET
RPL18P3	NA	TARGET
RPL21P58	NA	TARGET
RPL21P86	NA	TARGET
RPL18AP10	NA	TARGET
LOC100132723	NA	TARGET
RPS2P33	NA	TARGET
RPS10P31	NA	TARGET
VN1R103P	NA	TARGET
RPS5P5	NA	TARGET
RPL7AP41	NA	TARGET
RPL31P18	NA	TARGET
RPS2P21	NA	TARGET
RPL7AP62	NA	TARGET
RPL27P1	NA	TARGET
RPL31P8	NA	TARGET
RPS12P29	NA	TARGET
RPL13AP13	NA	TARGET
RPL31P10	NA	TARGET
LOC100130691	NA	TARGET
RPS15P7	NA	TARGET
