Gene_Ensembl_ID	current_dataset	previous_dataset
ENSG00000206841	NA	All Cohorts
ENSG00000278783	NA	All Cohorts
ENSG00000284142	NA	All Cohorts
ENSG00000211877	NA	All Cohorts
ENSG00000283796	NA	All Cohorts
ENSG00000278739	NA	All Cohorts
ENSG00000284585	NA	All Cohorts
ENSG00000252332	NA	All Cohorts
ENSG00000206602	NA	All Cohorts
ENSG00000264279	NA	All Cohorts
ENSG00000222287	NA	All Cohorts
ENSG00000211854	NA	All Cohorts
ENSG00000278108	NA	All Cohorts
ENSG00000254045	NA	All Cohorts
ENSG00000206931	NA	All Cohorts
ENSG00000252723	NA	All Cohorts
ENSG00000283764	NA	All Cohorts
ENSG00000199609	NA	All Cohorts
ENSG00000278073	NA	All Cohorts
ENSG00000251971	NA	All Cohorts
ENSG00000211882	NA	All Cohorts
ENSG00000199824	NA	All Cohorts
ENSG00000265201	NA	All Cohorts
ENSG00000274816	NA	All Cohorts
ENSG00000263413	NA	All Cohorts
ENSG00000205360	NA	All Cohorts
ENSG00000266712	NA	All Cohorts
ENSG00000284216	NA	All Cohorts
ENSG00000284148	NA	All Cohorts
ENSG00000275996	NA	All Cohorts
ENSG00000252128	NA	All Cohorts
ENSG00000201894	NA	All Cohorts
ENSG00000223113	NA	All Cohorts
ENSG00000207170	NA	All Cohorts
ENSG00000207782	NA	All Cohorts
ENSG00000277846	NA	All Cohorts
ENSG00000212611	NA	All Cohorts
ENSG00000200560	NA	All Cohorts
ENSG00000227902	NA	All Cohorts
ENSG00000264539	NA	All Cohorts
ENSG00000274621	NA	All Cohorts
ENSG00000284489	NA	All Cohorts
ENSG00000284229	NA	All Cohorts
ENSG00000283728	NA	All Cohorts
ENSG00000238942	NA	All Cohorts
ENSG00000238707	NA	All Cohorts
ENSG00000223280	NA	All Cohorts
ENSG00000211835	NA	All Cohorts
ENSG00000211839	NA	All Cohorts
ENSG00000276575	NA	All Cohorts
ENSG00000212572	NA	All Cohorts
ENSG00000211766	NA	All Cohorts
ENSG00000252944	NA	All Cohorts
ENSG00000225825	NA	All Cohorts
ENSG00000283821	NA	All Cohorts
ENSG00000275072	NA	All Cohorts
ENSG00000284149	NA	All Cohorts
ENSG00000212259	NA	All Cohorts
ENSG00000284114	NA	All Cohorts
ENSG00000199594	NA	All Cohorts
ENSG00000275726	NA	All Cohorts
ENSG00000221493	NA	All Cohorts
ENSG00000274380	NA	All Cohorts
ENSG00000207321	NA	All Cohorts
ENSG00000284293	NA	All Cohorts
ENSG00000277892	NA	All Cohorts
ENSG00000274824	NA	All Cohorts
ENSG00000222635	NA	All Cohorts
ENSG00000207590	NA	All Cohorts
ENSG00000264201	NA	All Cohorts
ENSG00000252072	NA	All Cohorts
ENSG00000199172	NA	All Cohorts
ENSG00000276830	NA	All Cohorts
ENSG00000284532	NA	All Cohorts
ENSG00000207393	NA	All Cohorts
ENSG00000200388	NA	All Cohorts
ENSG00000199620	NA	All Cohorts
ENSG00000265112	NA	All Cohorts
ENSG00000284372	NA	All Cohorts
ENSG00000283856	NA	All Cohorts
ENSG00000284082	NA	All Cohorts
ENSG00000277138	NA	All Cohorts
ENSG00000237020	NA	All Cohorts
ENSG00000264961	NA	All Cohorts
ENSG00000207997	NA	All Cohorts
ENSG00000274280	NA	All Cohorts
ENSG00000283950	NA	All Cohorts
ENSG00000206754	NA	All Cohorts
ENSG00000238386	NA	All Cohorts
ENSG00000199796	NA	All Cohorts
ENSG00000202314	NA	All Cohorts
ENSG00000266041	NA	All Cohorts
ENSG00000265178	NA	All Cohorts
ENSG00000207046	NA	All Cohorts
ENSG00000263979	NA	All Cohorts
ENSG00000264580	NA	All Cohorts
ENSG00000263515	NA	All Cohorts
ENSG00000265598	NA	All Cohorts
ENSG00000263863	NA	All Cohorts
ENSG00000198973	NA	All Cohorts
ENSG00000274111	NA	All Cohorts
ENSG00000266643	NA	All Cohorts
ENSG00000284535	NA	All Cohorts
ENSG00000202259	NA	All Cohorts
ENSG00000253294	NA	All Cohorts
ENSG00000207449	NA	All Cohorts
ENSG00000266589	NA	All Cohorts
ENSG00000283751	NA	All Cohorts
ENSG00000274986	NA	All Cohorts
ENSG00000200437	NA	All Cohorts
ENSG00000202356	NA	All Cohorts
ENSG00000251981	NA	All Cohorts
ENSG00000277912	NA	All Cohorts
ENSG00000265874	NA	All Cohorts
ENSG00000266634	NA	All Cohorts
ENSG00000265820	NA	All Cohorts
ENSG00000266174	NA	All Cohorts
ENSG00000264966	NA	All Cohorts
ENSG00000208037	NA	All Cohorts
ENSG00000263527	NA	All Cohorts
ENSG00000211828	NA	All Cohorts
ENSG00000221230	NA	All Cohorts
ENSG00000264720	NA	All Cohorts
ENSG00000211575	NA	All Cohorts
ENSG00000252277	NA	All Cohorts
ENSG00000211687	NA	All Cohorts
ENSG00000265510	NA	All Cohorts
ENSG00000266017	NA	All Cohorts
ENSG00000260524	NA	All Cohorts
ENSG00000265806	NA	All Cohorts
ENSG00000277249	NA	All Cohorts
ENSG00000252487	NA	All Cohorts
ENSG00000201028	NA	All Cohorts
ENSG00000277942	NA	All Cohorts
ENSG00000207362	NA	All Cohorts
ENSG00000277681	NA	All Cohorts
ENSG00000266392	NA	All Cohorts
ENSG00000276350	NA	All Cohorts
ENSG00000265390	NA	All Cohorts
ENSG00000264024	NA	All Cohorts
ENSG00000212359	NA	All Cohorts
ENSG00000284054	NA	All Cohorts
ENSG00000211827	NA	All Cohorts
ENSG00000206819	NA	All Cohorts
ENSG00000259852	NA	All Cohorts
ENSG00000207237	NA	All Cohorts
ENSG00000283853	NA	All Cohorts
ENSG00000238517	NA	All Cohorts
ENSG00000201823	NA	All Cohorts
ENSG00000207307	NA	All Cohorts
ENSG00000221394	NA	All Cohorts
ENSG00000200906	NA	All Cohorts
ENSG00000264633	NA	All Cohorts
ENSG00000206989	NA	All Cohorts
ENSG00000251987	NA	All Cohorts
ENSG00000252112	NA	All Cohorts
ENSG00000284329	NA	All Cohorts
ENSG00000221630	NA	All Cohorts
ENSG00000253592	NA	All Cohorts
ENSG00000251844	NA	All Cohorts
ENSG00000283584	NA	All Cohorts
ENSG00000283675	NA	All Cohorts
ENSG00000221740	NA	All Cohorts
ENSG00000255633	NA	All Cohorts
ENSG00000266721	NA	All Cohorts
ENSG00000283724	NA	All Cohorts
ENSG00000252222	NA	All Cohorts
ENSG00000252578	NA	All Cohorts
ENSG00000207037	NA	All Cohorts
ENSG00000275373	NA	All Cohorts
ENSG00000168630	NA	All Cohorts
ENSG00000265462	NA	All Cohorts
ENSG00000276147	NA	All Cohorts
ENSG00000274072	NA	All Cohorts
ENSG00000275948	NA	All Cohorts
ENSG00000278267	NA	All Cohorts
ENSG00000222213	NA	All Cohorts
ENSG00000207575	NA	All Cohorts
ENSG00000284488	NA	All Cohorts
ENSG00000273758	NA	All Cohorts
ENSG00000277474	NA	All Cohorts
ENSG00000274494	NA	All Cohorts
ENSG00000252959	NA	All Cohorts
ENSG00000207649	NA	All Cohorts
ENSG00000207153	NA	All Cohorts
ENSG00000207951	NA	All Cohorts
ENSG00000201550	NA	All Cohorts
ENSG00000207756	NA	All Cohorts
ENSG00000273898	NA	All Cohorts
ENSG00000263693	NA	All Cohorts
ENSG00000264764	NA	All Cohorts
ENSG00000265917	NA	All Cohorts
ENSG00000263849	NA	All Cohorts
ENSG00000265236	NA	All Cohorts
ENSG00000221585	NA	All Cohorts
ENSG00000284361	NA	All Cohorts
ENSG00000212379	NA	All Cohorts
ENSG00000264075	NA	All Cohorts
ENSG00000266559	NA	All Cohorts
ENSG00000275670	NA	All Cohorts
ENSG00000200295	NA	All Cohorts
ENSG00000199348	NA	All Cohorts
ENSG00000207422	NA	All Cohorts
ENSG00000265195	NA	All Cohorts
ENSG00000222743	NA	All Cohorts
ENSG00000265612	NA	All Cohorts
ENSG00000207980	NA	All Cohorts
ENSG00000212260	NA	All Cohorts
ENSG00000207609	NA	All Cohorts
ENSG00000200756	NA	All Cohorts
ENSG00000284387	NA	All Cohorts
ENSG00000201390	NA	All Cohorts
ENSG00000202034	NA	All Cohorts
ENSG00000200407	NA	All Cohorts
ENSG00000274713	NA	All Cohorts
ENSG00000283933	NA	All Cohorts
ENSG00000275238	NA	All Cohorts
ENSG00000274314	NA	All Cohorts
ENSG00000199643	NA	All Cohorts
ENSG00000276869	NA	All Cohorts
ENSG00000264474	NA	All Cohorts
ENSG00000274697	NA	All Cohorts
ENSG00000264386	NA	All Cohorts
ENSG00000221537	NA	All Cohorts
ENSG00000265450	NA	All Cohorts
ENSG00000275334	NA	All Cohorts
ENSG00000239112	NA	All Cohorts
ENSG00000252362	NA	All Cohorts
ENSG00000200495	NA	All Cohorts
ENSG00000200058	NA	All Cohorts
ENSG00000253030	NA	All Cohorts
ENSG00000252214	NA	All Cohorts
ENSG00000207815	NA	All Cohorts
ENSG00000212559	NA	All Cohorts
ENSG00000206997	NA	All Cohorts
ENSG00000207737	NA	All Cohorts
ENSG00000199157	NA	All Cohorts
ENSG00000237197	NA	All Cohorts
ENSG00000278756	NA	All Cohorts
ENSG00000252864	NA	All Cohorts
ENSG00000252913	NA	All Cohorts
ENSG00000276926	NA	All Cohorts
ENSG00000207577	NA	All Cohorts
ENSG00000201524	NA	All Cohorts
ENSG00000207160	NA	All Cohorts
ENSG00000283770	NA	All Cohorts
ENSG00000264823	NA	All Cohorts
ENSG00000273945	NA	All Cohorts
ENSG00000264675	NA	All Cohorts
ENSG00000221598	NA	All Cohorts
ENSG00000263641	NA	All Cohorts
ENSG00000200680	NA	All Cohorts
ENSG00000252206	NA	All Cohorts
ENSG00000278447	NA	All Cohorts
ENSG00000263723	NA	All Cohorts
ENSG00000274535	NA	All Cohorts
ENSG00000264379	NA	All Cohorts
ENSG00000264997	NA	All Cohorts
ENSG00000238649	NA	All Cohorts
ENSG00000278517	NA	All Cohorts
ENSG00000252598	NA	All Cohorts
ENSG00000252956	NA	All Cohorts
ENSG00000199592	NA	All Cohorts
ENSG00000276769	NA	All Cohorts
ENSG00000201264	NA	All Cohorts
ENSG00000227335	NA	All Cohorts
ENSG00000206880	NA	All Cohorts
ENSG00000266507	NA	All Cohorts
ENSG00000275519	NA	All Cohorts
ENSG00000263676	NA	All Cohorts
ENSG00000200281	NA	All Cohorts
ENSG00000277391	NA	All Cohorts
ENSG00000252661	NA	All Cohorts
ENSG00000199791	NA	All Cohorts
ENSG00000222092	NA	All Cohorts
ENSG00000252335	NA	All Cohorts
ENSG00000252562	NA	All Cohorts
ENSG00000263649	NA	All Cohorts
ENSG00000222960	NA	All Cohorts
ENSG00000275652	NA	All Cohorts
ENSG00000283704	NA	All Cohorts
ENSG00000252422	NA	All Cohorts
ENSG00000274066	NA	All Cohorts
ENSG00000222832	NA	All Cohorts
ENSG00000277387	NA	All Cohorts
ENSG00000222236	NA	All Cohorts
ENSG00000199165	NA	All Cohorts
ENSG00000206918	NA	All Cohorts
ENSG00000265660	NA	All Cohorts
ENSG00000266531	NA	All Cohorts
ENSG00000212388	NA	All Cohorts
ENSG00000216179	NA	All Cohorts
ENSG00000252544	NA	All Cohorts
ENSG00000273745	NA	All Cohorts
ENSG00000226338	NA	All Cohorts
ENSG00000211843	NA	All Cohorts
ENSG00000222320	NA	All Cohorts
ENSG00000252397	NA	All Cohorts
ENSG00000275651	NA	All Cohorts
ENSG00000221365	NA	All Cohorts
ENSG00000252619	NA	All Cohorts
ENSG00000237183	NA	All Cohorts
ENSG00000284259	NA	All Cohorts
ENSG00000207453	NA	All Cohorts
ENSG00000274300	NA	All Cohorts
ENSG00000221540	NA	All Cohorts
ENSG00000265520	NA	All Cohorts
ENSG00000207412	NA	All Cohorts
ENSG00000264266	NA	All Cohorts
ENSG00000200926	NA	All Cohorts
ENSG00000275067	NA	All Cohorts
ENSG00000277052	NA	All Cohorts
ENSG00000252517	NA	All Cohorts
ENSG00000252682	NA	All Cohorts
ENSG00000274552	NA	All Cohorts
ENSG00000207455	NA	All Cohorts
ENSG00000264314	NA	All Cohorts
ENSG00000252091	NA	All Cohorts
ENSG00000229686	NA	All Cohorts
ENSG00000199783	NA	All Cohorts
ENSG00000200112	NA	All Cohorts
ENSG00000200377	NA	All Cohorts
ENSG00000200753	NA	All Cohorts
ENSG00000201151	NA	All Cohorts
ENSG00000207299	NA	All Cohorts
ENSG00000284173	NA	All Cohorts
ENSG00000276404	NA	All Cohorts
ENSG00000253039	NA	All Cohorts
ENSG00000278328	NA	All Cohorts
ENSG00000201420	NA	All Cohorts
ENSG00000265724	NA	All Cohorts
ENSG00000273657	NA	All Cohorts
ENSG00000266305	NA	All Cohorts
ENSG00000222071	NA	All Cohorts
ENSG00000266676	NA	All Cohorts
ENSG00000264610	NA	All Cohorts
ENSG00000265407	NA	All Cohorts
ENSG00000276641	NA	All Cohorts
ENSG00000275640	NA	All Cohorts
ENSG00000252101	NA	All Cohorts
ENSG00000212303	NA	All Cohorts
ENSG00000265252	NA	All Cohorts
ENSG00000222972	NA	All Cohorts
ENSG00000221739	NA	All Cohorts
ENSG00000252952	NA	All Cohorts
ENSG00000207713	NA	All Cohorts
ENSG00000276584	NA	All Cohorts
ENSG00000212520	NA	All Cohorts
ENSG00000212280	NA	All Cohorts
ENSG00000265137	NA	All Cohorts
ENSG00000199833	NA	All Cohorts
ENSG00000263816	NA	All Cohorts
ENSG00000211568	NA	All Cohorts
ENSG00000201519	NA	All Cohorts
ENSG00000202089	NA	All Cohorts
ENSG00000252104	NA	All Cohorts
ENSG00000282089	NA	All Cohorts
ENSG00000206949	NA	All Cohorts
ENSG00000200021	NA	All Cohorts
ENSG00000222552	NA	All Cohorts
ENSG00000276770	NA	All Cohorts
ENSG00000201560	NA	All Cohorts
ENSG00000278264	NA	All Cohorts
ENSG00000264175	NA	All Cohorts
ENSG00000252729	NA	All Cohorts
ENSG00000273874	NA	All Cohorts
ENSG00000283772	NA	All Cohorts
ENSG00000274306	NA	All Cohorts
ENSG00000264757	NA	All Cohorts
ENSG00000275101	NA	All Cohorts
ENSG00000200247	NA	All Cohorts
ENSG00000276622	NA	All Cohorts
ENSG00000200279	NA	All Cohorts
ENSG00000252618	NA	All Cohorts
ENSG00000266151	NA	All Cohorts
ENSG00000252739	NA	All Cohorts
ENSG00000274417	NA	All Cohorts
ENSG00000207267	NA	All Cohorts
ENSG00000252882	NA	All Cohorts
ENSG00000273555	NA	All Cohorts
ENSG00000277030	NA	All Cohorts
ENSG00000252832	NA	All Cohorts
ENSG00000263583	NA	All Cohorts
ENSG00000200623	NA	All Cohorts
ENSG00000284190	NA	All Cohorts
ENSG00000264005	NA	All Cohorts
ENSG00000265657	NA	All Cohorts
ENSG00000276102	NA	All Cohorts
ENSG00000274134	NA	All Cohorts
ENSG00000264614	NA	All Cohorts
ENSG00000207954	NA	All Cohorts
ENSG00000266619	NA	All Cohorts
ENSG00000199150	NA	All Cohorts
ENSG00000212186	NA	All Cohorts
ENSG00000275167	NA	All Cohorts
ENSG00000252260	NA	All Cohorts
ENSG00000216035	NA	All Cohorts
ENSG00000278340	NA	All Cohorts
ENSG00000265976	NA	All Cohorts
ENSG00000278596	NA	All Cohorts
ENSG00000265429	NA	All Cohorts
ENSG00000283346	NA	All Cohorts
ENSG00000211513	NA	All Cohorts
ENSG00000274805	NA	All Cohorts
ENSG00000252008	NA	All Cohorts
ENSG00000221552	NA	All Cohorts
ENSG00000284596	NA	All Cohorts
ENSG00000283180	NA	All Cohorts
ENSG00000201301	NA	All Cohorts
ENSG00000201145	NA	All Cohorts
ENSG00000238728	NA	All Cohorts
ENSG00000207996	NA	All Cohorts
ENSG00000264559	NA	All Cohorts
ENSG00000238364	NA	All Cohorts
ENSG00000211831	NA	All Cohorts
ENSG00000252039	NA	All Cohorts
ENSG00000208032	NA	All Cohorts
ENSG00000222344	NA	All Cohorts
