Gene	broad_histology	count
SYNCRIP	Hematologic malignancy	40
TACC3	Hematologic malignancy	6
TAF4	Hematologic malignancy	19
TAOK3	Hematologic malignancy	4
TBCD	Hematologic malignancy	10
TCF25	Hematologic malignancy	20
TCF3	Hematologic malignancy	62
TCF7	Hematologic malignancy	4
TFRC	Hematologic malignancy	9
TGIF1	Hematologic malignancy	10
TIMP2	Hematologic malignancy	4
TMEM259	Hematologic malignancy	4
TPM4	Hematologic malignancy	10
TRABD	Hematologic malignancy	5
TRAC	Hematologic malignancy	71
TRBC2	Hematologic malignancy	4
TRDV2	Hematologic malignancy	71
TRPM2	Hematologic malignancy	26
TSC2	Hematologic malignancy	6
TTYH3	Hematologic malignancy	87
TUBGCP6	Hematologic malignancy	5
UBAC2	Hematologic malignancy	4
UBC	Hematologic malignancy	10
UHRF2	Hematologic malignancy	10
ULK1	Hematologic malignancy	17
VAV2	Hematologic malignancy	8
WNK1	Hematologic malignancy	4
YWHAE	Hematologic malignancy	5
ZBTB7A	Hematologic malignancy	7
ZC3H3	Hematologic malignancy	20
ZEB2	Embryonal tumor	5
ZEB2	Hematologic malignancy	9
ZFP36	Hematologic malignancy	4
ZFPM1	Hematologic malignancy	42
ZMYM2	Hematologic malignancy	4
ZNF131	Hematologic malignancy	6
ZNF292	Hematologic malignancy	51
ZNF384	Hematologic malignancy	26
ZNF511	Hematologic malignancy	7
ZNF516	Hematologic malignancy	5
