sample	caller
BS_79SYEHY3	freec
BS_79SYEHY3	gatk
BS_7BJQNVK8	gatk
BS_7BNQBB26	gatk
BS_7F07M7JG	freec
BS_7F07M7JG	gatk
BS_7G3AFSCR	gatk
BS_7GKF6M85	gatk
BS_7HC4W4SA	gatk
BS_7HRQNWJY	freec
BS_7HRQNWJY	gatk
BS_7M5272WN	gatk
BS_7M6F9GQD	gatk
BS_7M7JNG00	gatk
BS_7MXT22QP	gatk
BS_7NXB23C9	gatk
BS_7PF3C1P7	freec
BS_7PF3C1P7	gatk
BS_7PKPNFFK	gatk
BS_7RQCH5Y7	gatk
BS_7S8KSFRC	freec
BS_7S8KSFRC	gatk
BS_7W42FH5A	cnvkit
BS_7W42FH5A	freec
BS_7W42FH5A	gatk
BS_7XZNDFV4	gatk
BS_7Y5E5KQW	gatk
BS_7ZT919XN	freec
BS_7ZT919XN	gatk
BS_80078QDG	gatk
BS_808H2FQN	gatk
BS_80X7AVCP	gatk
BS_8226HD4X	gatk
BS_823V5X6Z	gatk
BS_83MSWR59	gatk
BS_84AQCZE4	gatk
BS_853PNV7P	gatk
BS_859AV1DB	gatk
BS_85Q5P8GF	gatk
BS_85Y70BHE	freec
BS_85Y70BHE	gatk
BS_86QSEFS7	gatk
BS_872Q3FK2	gatk
BS_87J6X9KJ	cnvkit
BS_87J6X9KJ	gatk
BS_886M7JMG	gatk
BS_895FJ34T	gatk
BS_89RCN9PF	freec
BS_89RCN9PF	gatk
BS_89V49XKJ	gatk
BS_8AY2GM4G	gatk
BS_8B1YF57H	gatk
BS_8BD8WD38	freec
BS_8BD8WD38	gatk
BS_8BM1WTGR	gatk
BS_8BS10XE2	freec
BS_8BS10XE2	gatk
BS_8C5QG3GE	gatk
BS_8CA214YR	gatk
BS_8D52JK1Q	gatk
BS_8D7YYP13	gatk
BS_8DB19DYW	gatk
BS_8EB1S8MK	gatk
BS_8FSJDG2T	gatk
BS_8FYZMP93	gatk
BS_8H2XX24V	freec
BS_8H2XX24V	gatk
BS_8JFMP1T1	gatk
BS_8JTH2X5Z	freec
